l1,l2,l3,l4,l5,l6
2.6277177696385414,-2.1366086871508765,-5.22837173716836,-2.1266398150067265,2.6006539675298197,4.2632485021576025
2.6712205217280873,-2.1209375636247088,-5.314277359793496,-2.110561793463529,2.64305683806541,4.2314993570882375
2.7151549980567857,-2.1051109618792987,-5.401033354952651,-2.094323267421614,2.6858783568958673,4.199434229300913
2.7595225237433008,-2.0891286406449288,-5.488642332435727,-2.0779240328513993,2.7291198086924284,4.167052673496328
2.8043242947007876,-2.0729903377422505,-5.5771066248936885,-2.061363840869789,2.7727823301929027,4.134354178612039
2.849561376146849,-2.05669579048273,-5.666428297230343,-2.0446424281974958,2.8168669210834962,4.101338218680225
2.8952347017267037,-2.040244750473637,-5.756609150378818,-2.027759537781524,2.8613744486521164,4.06800428825516
2.9413450724314814,-2.023636994443735,-5.8476507214112665,-2.010714932784141,2.906305648979787,4.034351927227876
2.9878931547412493,-2.0068723318829025,-5.939554281254798,-1.99350840664517,2.951661126513551,4.000380738528072
3.0348684150963607,-1.9899455850237944,-6.032319554577273,-1.9761412093515758,2.997451139480914,3.96608679437537
3.0822773735475457,-1.9728599967949885,-6.125949084923195,-1.9586141941400088,3.0436717113756506,3.9314741909349973
3.130122908634739,-1.955616445380407,-6.220443237038427,-1.9409264053083721,3.0903203284036884,3.896542850688779
3.1784062351947324,-1.9382152969210606,-6.315802025596731,-1.9230772045162823,3.1373957904019996,3.861292501437343
3.2271277899565862,-1.9206567434980661,-6.412025204688565,-1.905066283425833,3.1848974147319797,3.825723026923899
3.2762875768109767,-1.902940936770902,-6.509112253032498,-1.8868935403091622,3.2328246762215227,3.7898344770800643
3.3258853163597193,-1.8850680458136482,-6.607062354022186,-1.8685590108733758,3.2811770376624683,3.7536270566870242
3.3759205107918184,-1.8670382831968935,-6.705874379776599,-1.8500628334169098,3.329953868984782,3.7171011166138035
3.4263924703133557,-1.8488519171858855,-6.805546876814412,-1.8314052319053507,3.379154406501057,3.6802571490912364
3.477300321821341,-1.8305092775509857,-6.906078054171999,-1.8125865077107577,3.428777732350659,3.643095785261744
